"ROW_ID","ORDER_ID","ORDER_DATE","SHIP_DATE","CITY","PRODUCT_NAME","SALES","QUANTITY","DISCOUNT","PROFIT","DA","WK","BW","MO","QU","HY","YE"
1,"CA-2016-152156","11/8/2016","11/11/2016","Henderson","Bush Somerset Collection Bookcase",261.96,2,0,41.9136,"","","","M11","Q03","H02","Y02"
2,"CA-2016-152156","11/8/2016","11/11/2016","Henderson","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,"","","","M11","Q03","H02","Y02"
4,"US-2015-108966","10/11/2015","10/18/2015","Fort Lauderdale","Bretford CR4500 Series Slim Rectangular Table",957.5775,5,0.45,-383.031,"D255","WK37","BW19","M09","Q01","H01","Y01"
5,"US-2015-108966","10/11/2015","10/18/2015","Fort Lauderdale","Eldon Fold 'N Roll Cart System",22.368,2,0.2,2.5164,"D255","WK37","BW19","M09","Q01","H01","Y01"
6,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,"","","","","","",""
7,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","Newell 322",7.28,4,0,1.9656,"","","","","","",""
8,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","Mitel 5320 IP Phone VoIP phone",907.152,6,0.2,90.7152,"","","","","","",""
9,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","DXL Angle-View Binders with Locking Rings by Samsill",18.504,3,0.2,5.7825,"","","","","","",""
10,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","Belkin F5C206VTEL 6 Outlet Surge",114.9,5,0,34.47,"","","","","","",""
11,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","Chromcraft Rectangular Conference Tables",1706.184,9,0.2,85.3092,"","","","","","",""
12,"CA-2014-115812","6/9/2014","6/14/2014","Los Angeles","Konftel 250 Conference phone - Charcoal black",911.424,4,0.2,68.3568,"","","","","","",""
13,"CA-2017-114412","4/15/2017","4/20/2017","Concord","Xerox 1967",15.552,3,0.2,5.4432,"","","","","","",""
14,"CA-2016-161389","12/5/2016","12/10/2016","Seattle","Fellowes PB200 Plastic Comb Binding Machine",407.976,3,0.2,132.5922,"","","","M11","Q03","H02","Y02"
15,"US-2015-118983","11/22/2015","11/26/2015","Fort Worth","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,"D294","WK42","BW21","M10","Q01","H01","Y01"
16,"US-2015-118983","11/22/2015","11/26/2015","Fort Worth","Storex DuraTech Recycled Plastic Frosted Binders",2.544,3,0.8,-3.816,"D294","WK42","BW21","M10","Q01","H01","Y01"
17,"CA-2014-105893","11/11/2014","11/18/2014","Madison","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,"","","","","","",""
18,"CA-2014-167164","5/13/2014","5/15/2014","West Jordan","Fellowes Super Stor/Drawer",55.5,2,0,9.99,"","","","","","",""
19,"CA-2014-143336","8/27/2014","9/1/2014","San Francisco","Newell 341",8.56,2,0,2.4824,"","","","","","",""
20,"CA-2014-143336","8/27/2014","9/1/2014","San Francisco","Cisco SPA 501G IP Phone",213.48,3,0.2,16.011,"","","","","","",""
21,"CA-2014-143336","8/27/2014","9/1/2014","San Francisco","Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,"","","","","","",""
23,"CA-2016-137330","12/9/2016","12/13/2016","Fremont","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,"","","","M11","Q03","H02","Y02"
24,"US-2017-156909","7/16/2017","7/18/2017","Philadelphia","Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,"","","","","","",""
25,"CA-2015-106320","9/25/2015","9/30/2015","Orem","Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0,240.2649,"D237","WK34","BW17","M08","Q01","H01","Y01"
26,"CA-2016-121755","1/16/2016","1/20/2016","Los Angeles","Wilson Jones Active Use Binders",11.648,2,0.2,4.2224,"D349","WK50","BW25","M12","Q03","H02","Y02"
27,"CA-2016-121755","1/16/2016","1/20/2016","Los Angeles","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0,11.7741,"D349","WK50","BW25","M12","Q03","H02","Y02"
28,"US-2015-150630","9/17/2015","9/21/2015","Philadelphia","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,"D228","WK33","BW17","M08","Q01","H01","Y01"
29,"US-2015-150630","9/17/2015","9/21/2015","Philadelphia","Avery Recycled Flexi-View Covers for Binding Systems",9.618,2,0.7,-7.0532,"D228","WK33","BW17","M08","Q01","H01","Y01"
30,"US-2015-150630","9/17/2015","9/21/2015","Philadelphia","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,"D228","WK33","BW17","M08","Q01","H01","Y01"
31,"US-2015-150630","9/17/2015","9/21/2015","Philadelphia","Poly String Tie Envelopes",3.264,2,0.2,1.1016,"D228","WK33","BW17","M08","Q01","H01","Y01"
32,"US-2015-150630","9/17/2015","9/21/2015","Philadelphia","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,"D228","WK33","BW17","M08","Q01","H01","Y01"
34,"US-2015-150630","9/17/2015","9/21/2015","Philadelphia","Lumber Crayons",15.76,2,0.2,3.546,"D228","WK33","BW17","M08","Q01","H01","Y01"
35,"CA-2017-107727","10/19/2017","10/23/2017","Houston","Easy-staple paper",29.472,3,0.2,9.9468,"","","","","","",""
36,"CA-2016-117590","12/8/2016","12/10/2016","Richardson","GE 30524EE4",1097.544,7,0.2,123.4737,"","","","M11","Q03","H02","Y02"
37,"CA-2016-117590","12/8/2016","12/10/2016","Richardson","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,"","","","M11","Q03","H02","Y02"
38,"CA-2015-117415","12/27/2015","12/31/2015","Houston","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,"D329","WK47","BW24","M11","Q01","H01","Y01"
39,"CA-2015-117415","12/27/2015","12/31/2015","Houston","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,"D329","WK47","BW24","M11","Q01","H01","Y01"
40,"CA-2015-117415","12/27/2015","12/31/2015","Houston","Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,"D329","WK47","BW24","M11","Q01","H01","Y01"
41,"CA-2015-117415","12/27/2015","12/31/2015","Houston","Plantronics HL10 Handset Lifter",371.168,4,0.2,41.7564,"D329","WK47","BW24","M11","Q01","H01","Y01"
42,"CA-2017-120999","9/10/2017","9/15/2017","Naperville","Panasonic Kx-TS550",147.168,4,0.2,16.5564,"","","","","","",""
43,"CA-2016-101343","7/17/2016","7/22/2016","Los Angeles","Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,"D532","WK76","BW38","M18","Q03","H02","Y02"
44,"CA-2017-139619","9/19/2017","9/23/2017","Melbourne","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,"","","","","","",""
45,"CA-2016-118255","3/11/2016","3/13/2016","Eagan","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,"D401","WK58","BW29","M14","Q03","H02","Y02"
46,"CA-2016-118255","3/11/2016","3/13/2016","Eagan","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,0,8.2062,"D401","WK58","BW29","M14","Q03","H02","Y02"
47,"CA-2014-146703","10/20/2014","10/25/2014","Westland","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,"","","","","","",""
48,"CA-2016-169194","6/20/2016","6/25/2016","Dover","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,3,0,4.95,"D505","WK73","BW37","M17","Q03","H02","Y02"
49,"CA-2016-169194","6/20/2016","6/25/2016","Dover","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,"D505","WK73","BW37","M17","Q03","H02","Y02"
50,"CA-2015-115742","4/18/2015","4/22/2015","New Albany","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,"D076","WK11","","M03","Q01","H01","Y01"
