LOCATION_ID,LOCATION_NAME
L001,Henderson
L002,Los Angeles
L003,Fort Lauderdale
L004,Concord
L005,Seattle
L006,Fort Worth
L007,Madison
L008,West Jordan
L009,San Francisco
L010,Fremont
L011,Philadelphia
L012,Orem
L013,Houston
L014,Richardson
L015,Naperville
L016,Melbourne
L017,Eagan
L018,Westland
L019,Dover
L020,New Albany
L021,New York City
L022,Troy
L023,Chicago
L024,Gilbert
L025,Springfield
L026,Jackson
L027,Memphis
L028,Decatur
L029,Durham
L030,Columbia
L031,Rochester
L032,Minneapolis
L033,Portland
L034,Saint Paul
L035,Aurora
L036,Charlotte
L037,Orland Park
L038,Urbandale
L039,Columbus
L040,Bristol
L041,Wilmington
L042,Bloomington
L043,Phoenix
L044,Roseville
L045,Independence
L046,Pasadena
L047,Newark
L048,Franklin
L049,Scottsdale
L050,San Jose
L051,Edmond
L052,Carlsbad
L053,San Antonio
L054,Monroe
L055,Fairfield
L056,Grand Prairie
L057,Redlands
L058,Hamilton
L059,Westfield
L060,Akron
L061,Denver
L062,Dallas
L063,Whittier
L064,Saginaw
L065,Medina
L066,Dublin
L067,Detroit
L068,Tampa
L069,Santa Clara
L070,Lakeville
L071,San Diego
L072,Brentwood
L073,Chapel Hill
L074,Morristown
L075,Cincinnati
L076,Inglewood
L077,Tamarac
L078,Colorado Springs
L079,Belleville
L080,Taylor
L081,Lakewood
L082,Arlington
L083,Arvada
L084,Hackensack
L085,Saint Petersburg
L086,Long Beach
L087,Hesperia
L088,Murfreesboro
L089,Layton
L090,Austin
L091,Lowell
L092,Manchester
L093,Harlingen
L094,Tucson
L095,Quincy
L096,Pembroke Pines
L097,Des Moines
L098,Peoria
L099,Las Vegas
L100,Warwick
L101,Miami
L102,Huntington Beach
L103,Richmond
L104,Louisville
L105,Lawrence
L106,Canton
L107,New Rochelle
L108,Gastonia
L109,Jacksonville
L110,Auburn
L111,Norman
L112,Park Ridge
L113,Amarillo
L114,Lindenhurst
L115,Huntsville
L116,Fayetteville
L117,Costa Mesa
L118,Parker
L119,Atlanta
L120,Gladstone
L121,Great Falls
L122,Lakeland
L123,Montgomery
